Country_Annual_Real_GDP_1,Government_Effective_Expenses_1_1
5263.721509,1059.77624
5384.375764,1059.77624
5496.995516,1017.463328
5571.137194,1017.463328
5458.172991,1017.463328
5351.36552,1017.463328
5316.379061,1070.435419
5223.210767,1070.435419
5256.727355,1070.435419
5264.541382,1070.435419
5234.737055,1034.965523
5241.522793,1034.965523
5301.991317,1034.965523
5319.188688,1034.965523
5356.23513,1104.302589
5369.662352,1104.302589
5393.366457,1104.302589
5425.752472,1104.302589
5410.989721,1147.218519
5473.62405,1147.218519
5285.222025,1147.218519
5229.05625,1147.218519
5182.998813,1098.327772
4995.921456,1098.327772
5098.50765,1098.327772
5112.048518,1098.327772
5110.700587,1070.129468
5172.281769,1070.129468
5216.855437,1070.129468
5172.871134,1070.129468
5203.156229,1131.565357
5199.572643,1131.565357
5043.498076,1131.565357
5055.242921,1131.565357
5088.271167,1138.854068
5168.208261,1138.854068
5412.944266,1138.854068
5565.208449,1138.854068
5601.544052,1364.728968
5707.916604,1364.728968
5760.69707,1364.728968
5820.547845,1364.728968
5879.353752,1418.852642
5862.552786,1418.852642
